Pregunta;Respuesta
¿Qué es la Orden de Transporte (OT)?;La Orden de Transporte (OT) es el número asociado al envío. Tiene de 10 a 12 números y no contiene letras. Ej. 001234567890. La Orden de Transporte aparecerá en el comprobante que te entreguen en la sucursal. También en la sección “Historial de envíos y retiros” de la App. Y si tu envío se generó en el sitio web te llegará un correo electrónico con la Orden de Transporte. Con ella, puedes hacer seguimiento a tu envío en www.chilexpress.cl en “Rastrea tu envío”, en nuestro Centro de Ayuda o llamando al 600 2000 102 opción 1.
¿Cuál es el plazo para retirar un envío desde una sucursal de Chilexpress?;"El plazo para retirar un envío desde una sucursal es de 5 días hábiles. Una vez finalizado dicho plazo, el envío será devuelto al origen. Si el envío se generó en una oficina comercial será devuelto a la misma oficina, en cambio si se generó desde un retiro, será devuelto al domicilio.
"
¿Puede otra persona retirar mi envío de una sucursal Chilexpress?;"Para que una persona que no es el destinatario retire un envío desde una sucursal Chilexpress debe presentar su cédula de identidad, un poder simple emitido por el destinatario donde se autoriza su retiro y la copia del Rut del destinatario original. El poder simple es un mandato no protocolizado, donde una persona faculta a otra por escrito para que la represente. No tiene la autorización de un notario.
"
¿Se puede modificar la dirección de envío?;"Sí, el cambio puede ser solicitado por el remitente siempre y cuando lo haga el mismo día que contrató el servicio y la nueva dirección corresponda a la misma comuna del despacho original. Para realizar el cambio de dirección debes llamar a nuestro Call Center 600 2000 102. En el caso de una compra online, se debe solicitar el cambio de dirección de despacho directamente al comercio y su modificación está sujeta a las políticas del vendedor.
"
¿Puedo cambiar el destino del envío desde una dirección particular a una sucursal de Chilexpress?;"Sí, el cambio puede ser solicitado por el remitente siempre y cuando lo haga el mismo día que se contrató el servicio y la sucursal se encuentre dentro de la comuna de despacho original. Para compras realizadas de forma online debe solicitar al comercio que efectúe el cambio hacia una sucursal Chilexpress y la modificación está sujeta a políticas del vendedor.
"
¿El destinatario puede cambiar la dirección del envío?;"No es posible. Sin embargo, si un envío no puede ser entregado en la dirección de destino original, el destinatario podrá solicitar que sea derivado a una sucursal Chilexpress ubicada en la misma comuna del despacho original.
"
Si el destinatario no se encuentra en la dirección de envío, ¿puede recibirlo otra persona?;"Sí, puede recibirlo cualquier persona adulta que esté en el domicilio, indicando su Rut y su nombre.
"
¿Qué pasa si el destinatario no puede recibir el envío en su dirección?;"Chilexpress realiza dos intentos de entrega en el domicilio, en dos días hábiles y horarios distintos, los que son notificados al destinatario mediante un email. Si no se puede efectuar la entrega, el envío será devuelto al remitente.
"
¿Cuántos intentos de entrega en el domicilio realiza Chilexpress, antes de devolver un envío al remitente?;"Chilexpress realiza dos intentos de entrega en el domicilio. Si no hay nadie en el domicilio, Chilexpress envía un aviso y deja constancia de visita. Al día hábil siguiente, se realiza un segundo intento de entrega. Si nuevamente no se puede entregar, el envío será devuelto al remitente.
"
¿Chilexpress solicita el RUT del destinatario para realizar un envío desde una sucursal?;"No es necesario para un envío nacional, pero de igual forma te recomendamos entregar tus datos de contacto y los del destinatario lo más completos posible. De esta forma será más fácil contactarnos si tenemos algún inconveniente al momento de la entrega.
"
¿Qué es un envío sobredimensionado?;"Es toda encomienda que no cumpla el estándar establecido por Chilexpress, ya que posee una o más de las siguientes características: tiene un embalaje irregular, pesa más de 50 kilos y sobrepasa alguna de estas tres medidas: 1,2 metros (largo) x 0,8 metros (ancho) x 0,8 metros (alto). Puedes revisar las sucursales disponibles para estos envíos en la sección Sucursales en www.chilexpress.cl
"
¿Cuánto cuesta un envío sobredimensionado?;"El costo del servicio corresponderá al valor propio del envío, más un cobro adicional fijo de $3.500 + IVA dado que requiere un manejo distinto en nuestro Centro de Distribución.
"
¿Existen restricciones en los tiempos de entrega para un envío sobredimensionado?;"Sí, para los envíos sobredimensionados no están disponibles los siguientes servicios: entrega en 2 horas, ultra rápido ni AM/PM. A su vez, debido al peso y a las dimensiones de este tipo de encomiendas, se sumará un día hábil en la promesa de entrega contratada.
"
¿Cuál es la diferencia entre un documento y una encomienda?;"Para que un envío sea considerado documento debe estar embalado en un sobre de material flexible, tener como máximo 5 centímetros de espesor y un peso inferior o igual a 1,5 kilos. Todo envío distinto a lo anterior, se considera encomienda.
"
¿Dónde puedo revisar las normas nacionales e internacionales de un envío?;"Los envíos nacionales e internacionales se rigen por las Normas de Transporte Chilexpress que se encuentran disponibles en todas las sucursales de Chilexpress. También puedes revisarlas en www.chilexpress.cl
"
¿Cómo puedo hacer seguimiento de un envío?;"Puedes hacerlo a través de nuestra página web en la sección “Rastrea tu envío”, ingresando el número de la Orden de Transporte del envío. También puedes hacer seguimiento desde el Centro de Ayuda o desde nuestra App. https://centrodeayuda.chilexpress.cl/home
"
¿Puedo hacer seguimiento a un envío sin la orden de transporte?;"No es posible hacer seguimiento de un envío sin la Orden de Transporte. Puedes obtenerlo iniciando tu sesión en www.chilexpress.cl o revisar en tu App el Histórico de envíos.
"
¿Puedo enviar un documento o encomienda a otro país a través de Chilexpress?;"Sí, Chilexpress recibe tus envíos para hacerlos llegar a los distintos lugares del mundo. Puedes enviar tanto documentos como muestras al extranjero; esta última corresponde a todo aquello que no es considerado como documento y que se encuentre en el rango de 2,5 kilos a 50 kilos. Toda muestra debe venir valorada comercialmente por el remitente mediante el uso de una “Factura Comercial” expresada en dólares. Revisa más detalles en la Guía de Servicio.
"
¿Qué requisito debe cumplir un envío internacional para que sea entregado en el destino?;"Debes contar con nombre y dirección completa, además de código postal, teléfono de contacto, ciudad y país de destino. En algunos casos también el RUT o DNI (número de identificación) del destinatario.
"
¿Cuáles son los plazos de entrega asociados a un envío internacional?;"Los plazos de entrega varían según el lugar de destino. Estos varían de entre 4 días hábiles, a 8 días hábiles dependiendo del país y ciudad al que se desee exportar o importar. Es importante también considerar, que las retenciones asociadas a falta de información, documentación o condiciones aduaneras, podrían extender estos plazos.
"
